Acquirer ID;Ragione Sociale;Indirizzo sede legale;Comune sede legale;Provincia sede legale;CAP sede Legale;PEC;CF;PIVA;Nome Legale Rappresentante;Cognome Legale Rappresentante;CF Legale Rappresentante;Email Aziendale Legale rappresentante;Nome Amministratore;Cognome Amministratore;CF Amministratore;Email Aziendale Amministratore;IBAN
PAGOPA;Esercente di test IdPay;Indirizzo sede legale;Comune sede legale;Provincia sede legale;CAP sede Legale;email1@prova.it;33444433488;33444433488;a;v;c;s;w;d;f;e;IT20Z0300203280556937676748
PAGOPA;Esercente test di performance1;Via prova 1;Comune prova 1;Provincia prova 1;ZIP PROVA 1;email1@prova.it;99990000001;99990000001;a1;v1;c1;s1;w1;d1;f1;e1;IT96I9900199001000000000001
PAGOPA;Esercente test di performance2;Via prova 2;Comune prova 2;Provincia prova 2;ZIP PROVA 2;email1@prova.it;99990000002;99990000002;a2;v2;c2;s2;w2;d2;f2;e2;IT96I9900199001000000000002
PAGOPA;Esercente test di performance3;Via prova 3;Comune prova 3;Provincia prova 3;ZIP PROVA 3;email1@prova.it;99990000003;99990000003;a3;v3;c3;s3;w3;d3;f3;e3;IT96I9900199001000000000003
PAGOPA;Esercente test di performance4;Via prova 4;Comune prova 4;Provincia prova 4;ZIP PROVA 4;email1@prova.it;99990000004;99990000004;a4;v4;c4;s4;w4;d4;f4;e4;IT96I9900199001000000000004
PAGOPA;Esercente test di performance5;Via prova 5;Comune prova 5;Provincia prova 5;ZIP PROVA 5;email1@prova.it;99990000005;99990000005;a5;v5;c5;s5;w5;d5;f5;e5;IT96I9900199001000000000005
PAGOPA;Esercente test di performance6;Via prova 6;Comune prova 6;Provincia prova 6;ZIP PROVA 6;email1@prova.it;99990000006;99990000006;a6;v6;c6;s6;w6;d6;f6;e6;IT96I9900199001000000000006
PAGOPA;Esercente test di performance7;Via prova 7;Comune prova 7;Provincia prova 7;ZIP PROVA 7;email1@prova.it;99990000007;99990000007;a7;v7;c7;s7;w7;d7;f7;e7;IT96I9900199001000000000007
PAGOPA;Esercente test di performance8;Via prova 8;Comune prova 8;Provincia prova 8;ZIP PROVA 8;email1@prova.it;99990000008;99990000008;a8;v8;c8;s8;w8;d8;f8;e8;IT96I9900199001000000000008
PAGOPA;Esercente test di performance9;Via prova 9;Comune prova 9;Provincia prova 9;ZIP PROVA 9;email1@prova.it;99990000009;99990000009;a9;v9;c9;s9;w9;d9;f9;e9;IT96I9900199001000000000009
PAGOPA;Esercente test di performance10;Via prova 10;Comune prova 10;Provincia prova 10;ZIP PROVA 10;email1@prova.it;99990000010;99990000010;a10;v10;c10;s10;w10;d10;f10;e10;IT96I9900199001000000000010
PAGOPA;Esercente test di performance11;Via prova 11;Comune prova 11;Provincia prova 11;ZIP PROVA 11;email1@prova.it;99990000011;99990000011;a11;v11;c11;s11;w11;d11;f11;e11;IT96I9900199001000000000011
PAGOPA;Esercente test di performance12;Via prova 12;Comune prova 12;Provincia prova 12;ZIP PROVA 12;email1@prova.it;99990000012;99990000012;a12;v12;c12;s12;w12;d12;f12;e12;IT96I9900199001000000000012
PAGOPA;Esercente test di performance13;Via prova 13;Comune prova 13;Provincia prova 13;ZIP PROVA 13;email1@prova.it;99990000013;99990000013;a13;v13;c13;s13;w13;d13;f13;e13;IT96I9900199001000000000013
PAGOPA;Esercente test di performance14;Via prova 14;Comune prova 14;Provincia prova 14;ZIP PROVA 14;email1@prova.it;99990000014;99990000014;a14;v14;c14;s14;w14;d14;f14;e14;IT96I9900199001000000000014
PAGOPA;Esercente test di performance15;Via prova 15;Comune prova 15;Provincia prova 15;ZIP PROVA 15;email1@prova.it;99990000015;99990000015;a15;v15;c15;s15;w15;d15;f15;e15;IT96I9900199001000000000015
PAGOPA;Esercente test di performance16;Via prova 16;Comune prova 16;Provincia prova 16;ZIP PROVA 16;email1@prova.it;99990000016;99990000016;a16;v16;c16;s16;w16;d16;f16;e16;IT96I9900199001000000000016
PAGOPA;Esercente test di performance17;Via prova 17;Comune prova 17;Provincia prova 17;ZIP PROVA 17;email1@prova.it;99990000017;99990000017;a17;v17;c17;s17;w17;d17;f17;e17;IT96I9900199001000000000017
PAGOPA;Esercente test di performance18;Via prova 18;Comune prova 18;Provincia prova 18;ZIP PROVA 18;email1@prova.it;99990000018;99990000018;a18;v18;c18;s18;w18;d18;f18;e18;IT96I9900199001000000000018
PAGOPA;Esercente test di performance19;Via prova 19;Comune prova 19;Provincia prova 19;ZIP PROVA 19;email1@prova.it;99990000019;99990000019;a19;v19;c19;s19;w19;d19;f19;e19;IT96I9900199001000000000019
PAGOPA;Esercente test di performance20;Via prova 20;Comune prova 20;Provincia prova 20;ZIP PROVA 20;email1@prova.it;99990000020;99990000020;a20;v20;c20;s20;w20;d20;f20;e20;IT96I9900199001000000000020
PAGOPA;Esercente test di performance21;Via prova 21;Comune prova 21;Provincia prova 21;ZIP PROVA 21;email1@prova.it;99990000021;99990000021;a21;v21;c21;s21;w21;d21;f21;e21;IT96I9900199001000000000021
